"Gene_Name","Gene_ID","KEGG_ID","Pathway_Name","EC_No"
"CYP17A1","1586","hsa01100","Metabolic pathways","1.14.99.9"
"CYP19A1","1588","hsa00140","Steroid hormone biosynthesis","1.14.14.1"
"CYP19A1","1588","hsa01100","Metabolic pathways","1.14.14.1"
"CYP1A1","1543","hsa00140","Steroid hormone biosynthesis","1.14.14.1"
"CYP1A1","1543","hsa00380","Tryptophan metabolism","1.14.14.1"
"CYP1A1","1543","hsa00830","Retinol metabolism","1.14.14.1"
"CYP1A1","1543","hsa00980","Metabolism of xenobiotics by cytochrome P450","1.14.14.1"
"CYP1A1","1543","hsa01100","Metabolic pathways","1.14.14.1"
"CYP1B1","1545","hsa00140","Steroid hormone biosynthesis","1.14.14.1"
"CYP1B1","1545","hsa00380","Tryptophan metabolism","1.14.14.1"
"CYP1B1","1545","hsa00980","Metabolism of xenobiotics by cytochrome P450","1.14.14.1"
"CYP39A1","51302","hsa00120","Primary bile acid biosynthesis","1.14.13.99"
"CYP3A7","1551","hsa00140","Steroid hormone biosynthesis","1.14.14.1"
"CYP3A7","1551","hsa00591","Linoleic acid metabolism","1.14.14.1"
"CYP3A7","1551","hsa00830","Retinol metabolism","1.14.14.1"
"CYP3A7","1551","hsa00980","Metabolism of xenobiotics by cytochrome P450","1.14.14.1"
"CYP3A7","1551","hsa00982","Drug metabolism - cytochrome P450","1.14.14.1"
"CYP3A7","1551","hsa00983","Drug metabolism - other enzymes","1.14.14.1"
"CYP3A7","1551","hsa01100","Metabolic pathways","1.14.14.1"
"CYP4X1","260293","-","-","1.14.14.1"
"Cyr61","3491","-","-","-"
"DAB2IP","153090","-","-","-"
"DACH1","1602","-","-","-"
"DACH1","1602","-","-","-"
"DARS","1615","hsa00970","Aminoacyl-tRNA biosynthesis","6.1.1.12"
"DDR1","780","-","-","2.7.10.1"
"DDR1","780","-","-","2.7.10.1"
"DEPDC1","55635","-","-","-"
"DHX16","8449","hsa03040","Spliceosome","3.6.4.13"
"DKK4","27121","hsa04310","Wnt signaling pathway","-"
"DLX5","1749","-","-","-"
"DNAJA2","10294","hsa04141","Protein processing in endoplasmic reticulum","-"
"DNMT1","1786","hsa00270","Cysteine and methionine metabolism","2.1.1.37"
"DNMT1","1786","hsa01100","Metabolic pathways","2.1.1.37"
"DPP6","1804","-","-","-"
"ECM2","1842","-","-","-"
"EDNRB","1910","hsa04020","Calcium signaling pathway","-"
"EDNRB","1910","hsa04080","Neuroactive ligand-receptor interaction","-"
"EDNRB","1910","hsa04916","Melanogenesis","-"
"EFEMP1","2202","-","-","-"
"EFHA2","286097","-","-","-"
"EFNB2","1948","hsa04360","Axon guidance","-"
"EFS","10278","-","-","-"
"EGF","1950","hsa04010","MAPK signaling pathway","-"
"EGF","1950","hsa04012","ErbB signaling pathway","-"
"EGF","1950","hsa04060","Cytokine-cytokine receptor interaction","-"
"EGF","1950","hsa04144","Endocytosis","-"
"EGF","1950","hsa04510","Focal adhesion","-"
"EGF","1950","hsa04540","Gap junction","-"
"EGF","1950","hsa04810","Regulation of actin cytoskeleton","-"
"EGF","1950","hsa05160","Hepatitis C","-"
"EGF","1950","hsa05200","Pathways in cancer","-"
"EGF","1950","hsa05212","Pancreatic cancer","-"
"EGF","1950","hsa05213","Endometrial cancer","-"
"EGF","1950","hsa05214","Glioma","-"
"EGF","1950","hsa05215","Prostate cancer","-"
"EGF","1950","hsa05218","Melanoma","-"
"EGF","1950","hsa05219","Bladder cancer","-"
"EGF","1950","hsa05223","Non-small cell lung cancer","-"
"EGFL6","25975","-","-","-"
"EGFR","1956","hsa04010","MAPK signaling pathway","2.7.10.1"
"EGFR","1956","hsa04012","ErbB signaling pathway","2.7.10.1"
"EGFR","1956","hsa04020","Calcium signaling pathway","2.7.10.1"
"EGFR","1956","hsa04060","Cytokine-cytokine receptor interaction","2.7.10.1"
"EGFR","1956","hsa04144","Endocytosis","2.7.10.1"
"EGFR","1956","hsa04320","Dorso-ventral axis formation","2.7.10.1"
"EGFR","1956","hsa04510","Focal adhesion","2.7.10.1"
"EGFR","1956","hsa04520","Adherens junction","2.7.10.1"
"EGFR","1956","hsa04540","Gap junction","2.7.10.1"
"EGFR","1956","hsa04810","Regulation of actin cytoskeleton","2.7.10.1"
"EGFR","1956","hsa04912","GnRH signaling pathway","2.7.10.1"
"EGFR","1956","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","2.7.10.1"
"EGFR","1956","hsa05160","Hepatitis C","2.7.10.1"
"EGFR","1956","hsa05200","Pathways in cancer","2.7.10.1"
"EGFR","1956","hsa05212","Pancreatic cancer","2.7.10.1"
"EGFR","1956","hsa05213","Endometrial cancer","2.7.10.1"
"EGFR","1956","hsa05214","Glioma","2.7.10.1"
"EGFR","1956","hsa05215","Prostate cancer","2.7.10.1"
"EGFR","1956","hsa05218","Melanoma","2.7.10.1"
"EGFR","1956","hsa05219","Bladder cancer","2.7.10.1"
"EGFR","1956","hsa05223","Non-small cell lung cancer","2.7.10.1"
"EHD2","30846","-","-","-"
"EIF4EBP1","1978","hsa03013","RNA transport","-"
"EIF4EBP1","1978","hsa04012","ErbB signaling pathway","-"
"EIF4EBP1","1978","hsa04150","mTOR signaling pathway","-"
"EIF4EBP1","1978","hsa04910","Insulin signaling pathway","-"
"EIF4EBP1","1978","hsa05221","Acute myeloid leukemia","-"
"ELF1","1997","-","-","-"
"ELF1","1997","-","-","-"
"ELF5","2001","-","-","-"
"EMILIN1","11117","-","-","-"
"EMP2","2013","-","-","-"
"ENOSF1","55556","-","-","-"
"ENSA","2029","-","-","-"
"EPDR1","54749","-","-","-"
"EPHB2","2048","hsa04360","Axon guidance","2.7.10.1"
"EPHB4","2050","hsa04360","Axon guidance","2.7.10.1"
"EPPK1","83481","-","-","-"
"ErbB2","2064","hsa04012","ErbB signaling pathway","2.7.10.1"
"ErbB2","2064","hsa04020","Calcium signaling pathway","-"
"ErbB2","2064","hsa04510","Focal adhesion","-"
"ErbB2","2064","hsa04520","Adherens junction","-"
"ErbB2","2064","hsa05200","Pathways in cancer","-"
"ErbB2","2064","hsa05212","Pancreatic cancer","-"
"ErbB2","2064","hsa05213","Endometrial cancer","-"
"ErbB2","2064","hsa05215","Prostate cancer","-"
"ErbB2","2064","hsa05219","Bladder cancer","-"
"ErbB2","2064","hsa05223","Non-small cell lung cancer","-"
"ERO1L","30001","hsa04141","Protein processing in endoplasmic reticulum","-"
"ERO1L","30001","hsa05110","Vibrio cholerae infection","-"
"ESM1","11082","-","-","-"
"ESPN","83715","-","-","-"
"ESR1","2099","hsa04961","Endocrine and other factor-regulated calcium reabsorption","-"
"ESR2","2100","-","-","-"
"ETS1","2113","hsa04320","Dorso-ventral axis formation","-"
"ETS1","2113","hsa05200","Pathways in cancer","-"
"ETS1","2113","hsa05211","Renal cell carcinoma","-"
"ETS1","2113","hsa04320","Dorso-ventral axis formation","-"
"ETS1","2113","hsa05200","Pathways in cancer","-"
"ETS1","2113","hsa05211","Renal cell carcinoma","-"
"ETV5","2119","-","-","-"
"F10","2159","hsa04610","Complement and coagulation cascades","3.4.21.6"
"F13A1","2162","hsa04610","Complement and coagulation cascades","2.3.2.13"
"FAM20A","54757","-","-","-"
"FAM46C","54855","hsa04514","Cell adhesion molecules (CAMs)","3.1.3.48"
"FAM65C","140876","-","-","-"
"FAM89B","23625","-","-","-"
"Fas","355","hsa04010","MAPK signaling pathway","-"
"Fas","355","hsa04060","Cytokine-cytokine receptor interaction","-"
"Fas","355","hsa04115","p53 signaling pathway","-"
"Fas","355","hsa04210","Apoptosis","-"
"Fas","355","hsa04650","Natural killer cell mediated cytotoxicity","-"
"Fas","355","hsa04940","Type I diabetes mellitus","-"
"Fas","355","hsa05010","Alzheimer's disease","-"
"Fas","355","hsa05142","Chagas disease (American trypanosomiasis)","-"
"Fas","355","hsa05143","African trypanosomiasis","-"
"Fas","355","hsa05162","Measles","-"
"Fas","355","hsa05200","Pathways in cancer","-"
"Fas","355","hsa05320","Autoimmune thyroid disease","-"
"Fas","355","hsa05330","Allograft rejection","-"
"Fas","355","hsa05332","Graft-versus-host disease","-"
"FBN1","2200","-","-","-"
"FBXO32","114907","-","-","-"
"FBXW7","55294","hsa04120","Ubiquitin mediated proteolysis","-"
"FGF2","2247","hsa04010","MAPK signaling pathway","-"
"FGF2","2247","hsa04810","Regulation of actin cytoskeleton","-"
"FGF2","2247","hsa05200","Pathways in cancer","-"
"FGF2","2247","hsa05218","Melanoma","-"
"FGFR1","2260","hsa04010","MAPK signaling pathway","2.7.10.1"
"FGFR1","2260","hsa04520","Adherens junction","2.7.10.1"
"FGFR1","2260","hsa04810","Regulation of actin cytoskeleton","2.7.10.1"
"FGFR1","2260","hsa05200","Pathways in cancer","2.7.10.1"
"FGFR1","2260","hsa05215","Prostate cancer","2.7.10.1"
"FGFR1","2260","hsa05218","Melanoma","2.7.10.1"
"FHIT","2272","hsa00230","Purine metabolism","3.6.1.29"
"FHIT","2272","hsa05222","Small cell lung cancer","3.6.1.29"
"FHIT","2272","hsa05223","Non-small cell lung cancer","3.6.1.29"
"FHIT","2272","hsa00230","Purine metabolism","3.6.1.29"
"FHIT","2272","hsa05222","Small cell lung cancer","3.6.1.29"
"FHIT","2272","hsa05223","Non-small cell lung cancer","3.6.1.29"
"FLRT2","23768","-","-","-"
"FOLH1","2346","hsa04977","Vitamin digestion and absorption","3.4.17.21"
"FOXA1","3169","-","-","-"
"FOXA2","3170","hsa04950","Maturity onset diabetes of the young","-"
"FOXC1","2296","-","-","-"
"FOXL2","668","-","-","-"
"FUCA1","2517","hsa00511","Other glycan degradation","3.2.1.51"
"FUCA1","2517","hsa04142","Lysosome","3.2.1.51"
"GAD1","2571","hsa00250","Alanine; aspartate and glutamate metabolism","4.1.1.15"
"GAD1","2571","hsa00410","beta-Alanine metabolism","4.1.1.15"
"GAD1","2571","hsa00430","Taurine and hypotaurine metabolism","4.1.1.15"
"GAD1","2571","hsa00650","Butanoate metabolism","4.1.1.15"
"GAD1","2571","hsa01100","Metabolic pathways","4.1.1.15"
"GAD1","2571","hsa04940","Type I diabetes mellitus","4.1.1.15"
"GADD45G","10912","hsa04110","Cell cycle","-"
"GADD45G","10912","hsa04115","p53 signaling pathway","-"
"GADD45G","10912","hsa04060","Cytokine-cytokine receptor interaction","-"
"GAS6","2621","-","-","-"
"GCNT3","9245","hsa00512","Mucin type O-Glycan biosynthesis","2.4.1.102; 2.4.1.150"
"GCNT3","9245","hsa01100","Metabolic pathways","2.4.1.102; 2.4.1.150"
"GLT8D2","83468","-","-","-"
"GLTP","51228","-","-","-"
"GNLY","10578","-","-","-"
"GP2","2813","-","-","-"
"GPR133","283383","-","-","-"
"GSTP1","2950","hsa00480","Glutathione metabolism","2.5.1.18"
"GSTP1","2950","hsa00980","Metabolism of xenobiotics by cytochrome P450","2.5.1.18"
"GSTP1","2950","hsa00982","Drug metabolism - cytochrome P450","2.5.1.18"
"GSTP1","2950","hsa05200","Pathways in cancer","2.5.1.18"
"GSTP1","2950","hsa05215","Prostate cancer","2.5.1.18"
"GZMA","3001","hsa04080","Neuroactive ligand-receptor interaction","3.4.21.78"
"HDAC2","3066","hsa04110","Cell cycle","3.5.1.98"
"HDAC2","3066","hsa04330","Notch signaling pathway","3.5.1.98"
"HDAC2","3066","hsa05016","Huntington's disease","3.5.1.98"
"HDAC2","3066","hsa05200","Pathways in cancer","3.5.1.98"
"HDAC2","3066","hsa05220","Chronic myeloid leukemia","3.5.1.98"
"HGD","3081","hsa00350","Tyrosine metabolism","1.13.11.5"
"HGD","3081","hsa01100","Metabolic pathways","1.13.11.5"
"HIF1A","3091","hsa04150","mTOR signaling pathway","-"
"HIF1A","3091","hsa05200","Pathways in cancer","-"
"HIF1A","3091","hsa05211","Renal cell carcinoma","-"
"HIF1A","3091","hsa04150","mTOR signaling pathway","-"
"HIF1A","3091","hsa05200","Pathways in cancer","-"
"HIF1A","3091","hsa05211","Renal cell carcinoma",""
"HKDC1","80201","hsa00010","Glycolysis / Gluconeogenesis","2.7.1.1"
"HKDC1","80201","hsa00051","Fructose and mannose metabolism","2.7.1.1"
"HKDC1","80201","hsa00052","Galactose metabolism","2.7.1.1"
"HKDC1","80201","hsa00500","Starch and sucrose metabolism","2.7.1.1"
"HKDC1","80201","hsa00520","Amino sugar and nucleotide sugar metabolism","2.7.1.1"
"HKDC1","80201","hsa00524","Butirosin and neomycin biosynthesis","2.7.1.1"
"HKDC1","80201","hsa01100","Metabolic pathways","2.7.1.1"
"HKDC1","80201","hsa04910","Insulin signaling pathway","2.7.1.1"
"HKDC1","80201","hsa04930","Type II diabetes mellitus","2.7.1.1"
"HKDC1","80201","hsa04973","Carbohydrate digestion and absorption","2.7.1.1"
"HMGB1","3146","hsa03410","Base excision repair","-"
"HOXA10","3206","-","-","-"
"HOXA11","3207","-","-","-"
"HP","3240","-","-","-"
"HSPA8","3312","hsa03040","Spliceosome","-"
"HSPA8","3312","hsa04010","MAPK signaling pathway","-"
"HSPA8","3312","hsa04141","Protein processing in endoplasmic reticulum","-"
"HSPA8","3312","hsa04144","Endocytosis","-"
"HSPA8","3312","hsa04612","Antigen processing and presentation","-"
"HSPA8","3312","hsa05145","Toxoplasmosis","-"
"HSPA8","3312","hsa05162","Measles","-"
"HTR1B","3351","hsa04080","Neuroactive ligand-receptor interaction","-"
"HTRA1","5654","-","-","3.4.21.-"
"HTRA2","27429","hsa05012","Parkinson's disease","3.4.21.108"
"HTRA3","94031","-","-","-"
"HYAL1","3373","hsa00531","Glycosaminoglycan degradation","3.2.1.35"
"HYAL1","3373","hsa01100","Metabolic pathways","3.2.1.35"
"HYAL1","3373","hsa04142","Lysosome","3.2.1.35"
"HYAL2","8692","hsa00531","Glycosaminoglycan degradation","3.2.1.35"
"HYAL2","8692","hsa01100","Metabolic pathways","3.2.1.35"
"ID4","3400","hsa04350","TGF-beta signaling pathway","-"
"IFIT4","3437","-","-","-"
"IGF1","3479","hsa04114","Oocyte meiosis","-"
"IGF1","3479","hsa04115","p53 signaling pathway","-"
"IGF1","3479","hsa04150","mTOR signaling pathway","-"
"IGF1","3479","hsa04510","Focal adhesion","-"
"IGF1","3479","hsa04730","Long-term depression","-"
"IGF1","3479","hsa04914","Progesterone-mediated oocyte maturation","-"
"IGF1","3479","hsa04960","Aldosterone-regulated sodium reabsorption","-"
"IGF1","3479","hsa05200","Pathways in cancer","-"
"IGF1","3479","hsa05214","Glioma","-"
"IGF1","3479","hsa05215","Prostate cancer","-"
"IGF1","3479","hsa05218","Melanoma","-"
"IGF1","3479","hsa05410","Hypertrophic cardiomyopathy (HCM)","-"
"IGF1","3479","hsa05414","Dilated cardiomyopathy","-"
"IGF2","3481","-","-","-"
"IGF2BP2","10644","-","-","-"
"IGF2BP3","10643","-","-","-"
"IGFBP1","3484","-","-","-"
"IGFBP3","3486","hsa04115","p53 signaling pathway","-"
"IGFBP6","3489","-","-","-"
"IGJ","3512","-","-","-"
"IL11","3589","hsa04060","Cytokine-cytokine receptor interaction","-"
"IL11","3589","hsa04630","Jak-STAT signaling pathway","-"
"IL11","3589","hsa04640","Hematopoietic cell lineage","-"
"IL11","3589","hsa05323","Rheumatoid arthritis","-"
"IL20RA","53832","hsa04060","Cytokine-cytokine receptor interaction","-"
