"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"CTNNB1","1499","CTNNB1 catenin (cadherin-associated protein); beta 1; 88kDa ","3","CTNNB; FLJ25606; FLJ37923; DKFZp686D02253; CTNNB1","12379748; 12111402; 15051772; 18949382","1434","-,ACP1,AJAP1,APC,APC2,AR,AXIN1,AXIN2,BCL3,BCL9,BCL9L,BOC,BTRC,CA9,CASP3,CASP8,CBY1,CCND1,CDC73,CDH1,CDH11,CDH15,CDH16,CDH2,CDH24,CDH3,CDH5,CDH7,CDH8,CDH9,CDK5R1,CDK6,CDON,CEBPA,CHD8,CHUK,CREBBP,CSNK1A1,CSNK1D,CSNK2A1,CSNK2B,CTNNA1,CTNNA3,CTNNBIP1,CTNND2,DLG5,DSC3,DVL1,DVL3,EGFR,EP300,ERBB2,ESR1,EZR,FER,FHL2,FLT1,FOXO1,FOXO4,FSCN1,FYN,GLIS2,GNA13,GRIK2,GRIN1,GRIN2D,GSK3B,HIF1A,HNF1A,IGF2BP1,IKBKB,IQGAP1,KDR,LEF1,LEO1,MAGI1,MAGI2,MET,MITF,MUC1,NCOA2,NDRG1,NEURL2,NF2,NFKB1,NR5A1,PECAM1,PICK1,PIK3R1,PIN1,PITX2,PKD1,PKP2,PLK1,PPM1A,PSEN1,PSEN2,PTPN1,PTPN13,PTPN14,PTPN6,PTPRF,PTPRJ,PTPRK,PTPRM,PTPRU,PTPRZ1,PYGO1,RAPGEF2,RUVBL1,RUVBL2,RXRA,SALL1,SLC9A3R1,SMAD2,SMAD3,SMAD4,SMAD7,SMARCA4,SOX1,SOX17,SPN,SRC,TAX1BP3,TBL1X,TCF3,TCF4,TCF7L1,TCF7L2,TFAP2A,TGFBR1,TGFBR2,TRIP10,USP9X,ZFYVE9"
"CTNND1","1500","CTNND1 catenin (cadherin-associated protein); delta 1","11","CAS; p120; CTNND; P120CAS; P120CTN; KIAA0384; p120(CAS); p120(CTN); CTNND1","15051772","1017","ACTA1,CDH1,CDH24,CDH3,CDH5,COL17A1,CTNND1,CTTN,EGFR,ERBB2IP,FER,GRIK2,GSK3B,JUP,MTNR1B,MUC1,PSEN1,PTPN6,PTPRJ,PTPRM,SRC,YWHAG,ZBTB33"
"CTSB","1508","CTSB cathepsin B","8","APPS; CPSB; CTSB","19110306","37550","A2M,ACAN,ADAMTSL4,ANXA2,APOE,BAT3,BGLAP,CST3,CST7,CSTA,CSTB,CTSB,CTSD,IGF1,INS,MARCKS,PLAU,REN,RGS2,S100A10,SERPINB13,SLPI,SPHK1,SPINT2,SRPX2"
"CTSD","1509","CTSD cathepsin D","11","CPSD; CLN10; MGC2311; CTSD","8664123","55616","APP,BGLAP,CCL21,CD4,CST3,CSTB,CTSB,FN1,IGF2R,IGFBP3,IGFBP4,INS,PSAP,SERPINA4,SHBG,SLC2A4,TG"
"CTSH","1512","CTSH cathepsin H ","15","CPSB; ACC-4; ACC-5; MGC1519; minichain; DKFZp686B24257; CTSH","18949382","36159","BGLAP,CSTA,CSTB,SFTPB"
"CTSW","1521","CTSW cathepsin W","11","LYPN","17043662","37471","NA"
"CXCL12","6387","CXCL12 chemokine (C-X-C motif) ligand 12","10","IRH; PBSF; SDF1; TLSF; SDF1A; SDF1B; TPAR1; SCYB12","17043662","507","CD4,CTSG,CXCL12,CXCR4,DPP4,ELANE,FN1,MMP2"
"CXCL17","284340","CXCL17 chemokine (C-X-C motif) ligand 17","19","DMC; VCC1; Dcip1; VCC-1; UNQ473; MGC138300; CXCL17","17043662","18875","NA"
"CXCL5","6374","CXCL5 chemokine (C-X-C motif) ligand 5","4","SCYB5; ENA-78; CXCL5","17043662","88672","CXCR1,CXCR2,DARC,MMP9"
"CXCL9","4283","CXCL9 chemokine (C-X-C motif) ligand 9","4","CMK; MIG; Humig; SCYB9; crg-10","17043662","1813","CCR3,CXCR3,DPP4"
"CXCR4","7852","CXCR4 chemokine (C-X-C motif) receptor 4","2","FB22; HM89; LAP3; LCR1; NPYR; WHIM; CD184; LESTR; NPY3R; NPYRL; HSY3RR; NPYY3R; D2S201E; CXCR4","19199057","20739","ADRBK2,ARRB2,CCR5,CD4,CTSG,CXCL12,CXCR4,DPP4,ELANE,GNA13,GNAI1,HSPA8,JAK1,JAK2,JAK3,MYH9,PTK2,PTPN11,PTPN6,PTPRC,SDC4,SOCS1,SOCS3,STAT1,STAT2,STAT3,STAT5B,VAV1"
"CYP17A1","1586","CYP17A1 cytochrome P450; family 17; subfamily A; polypeptide 1","10","CPT7; CYP17; S17AH; P450C17; CYP17A1","20886547; 11358812","73875","CYB5A,POR"
"CYP19A1","1588","CYP19A1 cytochrome P450; family 19; subfamily A; polypeptide 1","15","ARO; ARO1; CPV1; CYAR; CYP19; MGC104309; P-450AROM; CYP19A1","11358812","30955","FANCG"
"CYP1A1","1543","CYP1A1 cytochrome P450; family 1; subfamily A; polypeptide 1","15","AHH; AHRR; CP11; CYP1; P1-450; P450-C; P450DX; CYP1A1","18318428; 9155064; 9450474; 14656940; 12873984; 19690133 ","68062","CYB5A"
"CYP1B1","1545","CYP1B1 cytochrome P450; family 1; subfamily B; polypeptide 1","2","CP1B; GLC3A; P4501B1; CYP1B1","159300340","68035","NA"
"CYP39A1","51302","CYP39A1 cytochrome P450; family 39; subfamily A; polypeptide 1","6","CYP39A1","18949382","9580","NA"
"CYP3A7","1551","CYP3A7 cytochrome P450; family 3; subfamily A; polypeptide 7","7","CP37; P450-HFLA; CYP3A7","159300340","121493","NA"
"CYP4X1","260293","CYP4X1 cytochrome P450; family 4; subfamily X; polypeptide 1","1","CYPIVX1; MGC40051; CYP4X1","15471875","75853","NA"
"CYR61","3491","CYR61 cysteine-rich; angiogenic inducer; 61","1","CCN1; GIG1; IGFBP10; CYR61","18404674","1194","ITGAV,ITGB5"
"DAB2IP","153090","DAB2IP DAB2 interacting protein","9","AIP1; AF9Q34; DIP1/2; FLJ39072; KIAA1743; DAB2IP","19502783","13058","DAB1,MAP3K5"
"DACH1","1602","dachshund homolog 1 (Drosophila)","13","DACH; FLJ10138","17507620","7288","CREBBP,EYA1,EYA3,NAGK,NCOR1,SIN3A,SIX1,SMAD3,SMAD4,UBE2I"
"DARS","1615","DARS aspartyl-tRNA synthetase","2","MGC111579; DKFZp781B11202; DARS","17704737","1032","AIMP2,EEF1A1"
"DDR1","780","discoidin domain receptor tyrosine kinase 1","6","CAK; DDR; NEP; HGK2; PTK3; RTK6; TRKE; CD167; EDDR1; MCK10; NTRK4; PTK3A","159300340","68212","BEND5,COL11A1,COL2A1,COL3A1,COL5A2,DDR1,FRS2,NCK2,PLCG1,PTPN11,RGS2,SHC1,SNAPIN,SNRNP40,TM4SF1,TTR"
"DEPDC1","55635","DEPDC1 DEP domain containing 1","1","DEP.8; SDP35; DEPDC1A; FLJ20354; DEPDC1-V2; DEPDC1","18949382","9834","NA"
"DHX16","8449","DHX16 DEAH (Asp-Glu-Ala-His) box polypeptide 16","6","DBP2; PRP8; Prp2; DDX16; PRPF2; PRO2014; DHX16","17043662","2658","COIL,MEGF10"
"DKK4","27121","DKK4 dickkopf homolog 4 (Xenopus laevis)","8","DKK-4; MGC129562; MGC129563; DKK4","18949382","8680","NA"
"DLX5","1749","DLX5 distal-less homeobox 5","7","DLX5","15604243","3825","MAGED1,MSX2,NCOA2,SOX10,SOX8,SPEN"
"DNAJA2","10294","DNAJA2 DnaJ (Hsp40) homolog; subfamily A; member 2","16","DJ3; CPR3; DJA2; DNAJ; DNJ3; RDJ2; HIRIP4; PRO3015; DNAJA2","159300340","21193","HSPA1A"
"DNMT1","1786","DNMT1 DNA (cytosine-5-)-methyltransferase 1","19","AIM; DNMT; MCMT; CXXC9; FLJ16293; MGC104992; DNMT1","17043662","124344","CBX1,DAXX,DMAP1,DNMT1,DNMT3A,DNMT3B,DYNLL1,EED,EZH2,HDAC1,HDAC2,HMGB1,PCNA,RB1,SUV39H1,TRIM27,TSG101"
"DPP6","1804","DPP6 dipeptidyl-peptidase 6","7","VF2; DPPX; FLJ55680; MGC46605","17043662","22560","PRNP"
"ECM2","1842","ECM2 extracellular matrix protein 2; female organ and adipocyte specific","9","MGC126355; MGC126356","17043662","1064","NA"
"EDNRB","1910","EDNRB endothelin receptor type B","13","ETB; ET-B; ETBR; ETRB; HSCR; WS4A; ABCDS; ET-BR; HSCR2","17043662","89","CAV1,EDN1,EDN3,GNA11,GNA13,GRK6,NOS3"
"EFEMP1","2202","EFEMP1 EGF containing fibulin-like extracellular matrix protein 1","2","DHRD; DRAD; FBNL; MLVT; MTLV; S1-5; FBLN3; FLJ35535; MGC111353","17043662","3028","ARAF,ATN1,GFI1B,RAF1,RERE,SGTA,TIMP3"
"EFHA2","286097","EFHA2 EF-hand domain family; member A2","8","DKFZp313A0139","17108150","15058","NA"
"EFNB2","1948","EFNB2 ephrin-B2 ","13","HTKL; EPLG5; Htk-L; LERK5; MGC126226; MGC126227; MGC126228; EFNB2","17043662","3019","DLG4,EFNB2,EPHA3,EPHA4,EPHB1,EPHB2,EPHB4,EPHB6,GRIP1,GRM1,GRM5,HOMER1,NCK2,PDZRN3,PECAM1,PICK1,PSEN1,PTPN13,RGS3,RHBDL2,SDCBP,SRC"
"EFS","10278","EFS embryonal Fyn-associated substrate","14","SIN; CAS3; EFS1; EFS2; HEFS; CASS3","18006148","4284","BCAR1,PTK2,PTK2B,PTPN12,SH2D3C,SORBS3,TRAPPC6A"
"EGF","1950","EGF epidermal growth factor ","4","URG; HOMG4; EGF","159300340; 18949382; 17549377; 8104681","1483","ADAM12,ADRBK1,CPM,DUSP3,EGF,EGFR,ERBB2,ERBB3,GRB2,LMNA,NRG1,PIK3R2,VTN"
"EGFL6","25975","EGFL6 EGF-like-domain; multiple 6","X","W80; MAEG; DKFZp564P2063; EGFL6","159300340; 18949382","9166","SH3GL2,SH3GL3"
"EGFR","1956","EGFR epidermal growth factor receptor ","7","ERBB; HER1; mENA; ERBB1; PIG61; EGFR","17549377; 8104681","74545","ACTA1,ADRBK1,AGTR1,ALCAM,AMH,ANXA1,AR,AREG,ARF4,ATP1A1,ATP1B1,ATP5C1,BTC,CALM1,CALM2,CALM3,CAMK2A,CAMK2G,CAMLG,CASP1,CAV1,CAV2,CAV3,CBL,CBLB,CBLC,CD44,CD82,CDC25A,CDH1,CEACAM1,CEBPB,CLTA,CLTCL1,CMTM8,CRK,CTNNB1,CTNND1,DCN,DEGS1,DOK2,EGF,EGFR,ELF3,EPB41,EPHA2,EPPK1,EPS15,EPS8,ERBB2,ERBB3,ERBB4,EREG,ERRFI1,ESR1,EZR,FAS,FER,GAB1,GAPDH,GNAI2,GRB10,GRB14,GRB2,GRB7,HBEGF,HGS,HIST3H3,HOXC10,HTT,ICAM1,INPPL1,ITGA5,JAK2,KRT17,KRT18,KRT7,KRT8,LYN,MAP2K1,MAP3K14,MAP4K1,MAPK1,MET,MT-CO2,MUC1,NCK1,NCK2,PAK1,PDCD6IP,PDGFRB,PIK3C2A,PIK3C2B,PIK3R1,PIK3R2,PITPNA,PKIA,PLCG1,PLD1,PLD2,PLEC1,PLSCR1,PRKACA,PRKAR1A,PRKCA,PRKCD,PRKD1,PTK2,PTK2B,PTK6,PTPN1,PTPN11,PTPN2,PTPN6,PTPRJ,PTPRS,RASA1,RGS16,RIPK1,S100A7,S100A9,SCAMP1,SCAMP3,SEC13,SFN,SGSM2,SH2D3A,SH3BGRL3,SHC1,SHC3,SLC3A2,SLC9A3R1,SNRPD2,SNX1,SNX2,SNX4,SNX6,SOCS1,SOCS3,SOCS5,SOCS7,SOS1,SOS2,SRC,STAM2,STAT1,STAT3,STAT5A,STAT5B,TGFA,TJP1,TNC,TNK2,TUBA1A,TUBA4A,UBB,VAV1,VAV2,VAV3,XRCC6,YWHAZ,ZNF259"
"EHD2","30846","EHD2 EH-domain containing 2","19","PAST2; FLJ96617","17043662","22825","AP1M1,AP2M1,EHBP1,EHD2,PICALM,SLC2A4"
"EIF4EBP1","1978","EIF4EBP1 eukaryotic translation initiation factor 4E binding protein 1","8","BP-1; 4EBP1; 4E-BP1; PHAS-I; MGC4316; EIF4EBP1","18949382","3021","AKT1,ATM,BUB1,CHTF8,CSNK2A1,CSNK2A2,EIF4E,EIF4E2,MAPK1,MAPK14,MAPKAPK5,MTOR,MVD,PPP2CA,RHEBL1,RORC,RPS6KA5,RPS6KB1,RPTOR"
"ELF1","1997","E74-like factor 1 (ets domain transcription factor)","13","-","12798703","7303","HMGA1,HOXC13,NFKB1,NFYB,RB1,REL,SP1"
"ELF5","2001","ELF5 E74-like factor 5 (ets domain transcription factor)","11","ESE2; ELF5","159300340","7702","RPS15A,SIRT6,UBQLN4"
"EMILIN1","11117","EMILIN1 elastin microfibril interfacer 1","2","EMI; gp115; EMILIN; DKFZp586M121","17043662","5117","EMILIN1,EMILIN2,MTMR9,NMI"
"EMP2","2013","EMP2 epithelial membrane protein 2","16","XMP; MGC9056; EMP2","20578181","1089","NA"
"ENOSF1","55556","ENOSF1 enolase superfamily member 1","18","RTS; TYMSAS; HSRTSBETA; ENOSF1","19190136","9703","NA"
"ENSA","2029","ENSA endosulfine alpha","1","MGC4319; MGC8394; ARPP-19e; MGC78563; ENSA","18949382","37924","ABCC8,ARIH2,ENO2,KCTD15"
"EPDR1","54749","EPDR1 ependymin related protein 1","7","EPDR; UCC1; MERP1; MERP-1; EPDR1","18949382","9714","UBQLN4"
"EPHB2","2048","EPHB2 EPH receptor B2","1","DRT; EK5; ERK; CAPB; Hek5; PCBC; EPHT3; Tyro5; MGC87492; EPHB2","159300340","37925","ABL1,ABL2,ACP1,AQP1,ARHGEF6,EFNA5,EFNB1,EFNB2,EPHB2,ERF,FOS,GRB2,GRIN1,GRIN2B,ITSN1,KALRN,KSR1,MLLT4,MMP2,MMP9,NCK1,PICK1,PTK2,RASA1,RRAS,RYK,SDC2,SDCBP,SH2D3C,SRC,SYNJ1,VAV2,VEGFA"
"EPHB4","2050","EPHB4 EPH receptor B4","7","HTK; MYK1; TYRO11; EPHB4","12562648; 17108150 ","20939","EFNB2,GRIN1,SDC3"
"EPPK1","83481","EPPK1 epiplakin 1","8","EPIPL; EPIPL1; EPPK1","17043662","20006","EGFR"
"ERBB2","2064","ERBB2 v-erb-b2 erythroblastic leukemia viral oncogene homolog 2; neuro/glioblastoma derived oncogene","17","NEU; NGL; HER2; TKR1; CD340; HER-2; MLN 19; HER-2/neu; ERBB2","17549377; 16710036; 8104681","3273","ACPP,BTC,CAV1,CD82,CTNNB1,DLG4,EGF,EGFR,ERBB2,ERBB2IP,ERBB3,ERBB4,ERRFI1,ESR1,GRB2,GRB7,HLA-A,HSP90AA1,HSP90B1,IL6ST,ITGA5,ITGB4,JAK2,JUP,MATK,MUC1,MUC4,NF2,PAK1,PICK1,PIK3C2A,PIK3C2B,PIK3R1,PIK3R2,PLCG1,PTK2,PTK2B,PTPN11,PTPN18,SERPINA3,SH3BGRL3,SHC1,SOS1,SRC,STUB1,TGFA,TOB1,UBB"
"ERO1L","30001","ERO1L ERO1-like (S. cerevisiae)","14","ERO1A; ERO1-alpha; ERO1L","15604243","49392","ERO1L,ERP44,P4HB,PDIA3,PDILT"
"ESM1","11082","SM1 endothelial cell-specific molecule 1","5","endocan; ESM1","18949382","5107","ITGB2"
"ESPN","83715","ESPN espin","1","DFNB36; LP2654; DKFZp434A196; DKFZp434G2126; ESPN","17043662","23164","BAIAP2"
"ESR1","2099","ESR1 estrogen receptor 1","6","ER; ESR; Era; ESRA; NR3A1; DKFZp686N23123; ESR1","19438492; 21272446; 12962933; 18990228; 12270131; 8104681","47906","AHR,AKAP13,AKT1,AKT2,AR,ARHGEF15,ARNT,ATAD2,BAG1,BCAR1,BCAS2,BDNF,BRCA1,CALM1,CALM2,CALM3,CAV1,CCND1,CCNH,CCNT1,CDC25B,CDK7,CDKN1A,CEBPB,CHD9,CHUK,CITED1,COBRA1,COPS5,CREBBP,CSNK2B,CTNNB1,CUEDC2,CUL4B,DDX5,DDX54,DNTTIP2,DUT,EGFR,EIF3I,EP300,ERBB2,ESR1,ESR2,ESRRA,FHL2,FLII,FOXO1,FOXO3,FOXO4,GADD45B,GADD45G,GNAI1,GRB2,GTF2B,GTF2H1,HEXIM1,HNF4A,HSP90AA1,HSP90AB1,HSPA4,IGF1R,ISL1,ITGB3BP,JUN,JUNB,JUND,KAT5,KDM5A,KIF1A,LCK,LDB1,LOH3CR2A,MAPK1,MAPK14,MAPK3,MDM2,MED1,MED24,MKNK2,MLL2,MMS19,MNAT1,MPG,MTA1,MTCH2,MVP,NCOA1,NCOA2,NCOA3,NCOA6,NCOA7,NCOR1,NCOR2,NFKB1,NPPA,NR0B1,NR0B2,NR1H4,NR2C1,NR2C2,NR2F1,NR2F6,NRIP1,NSD1,PAK1,PAK6,PELP1,PGR,PHB2,PIAS1,PIAS3,PIK3R1,PIK3R3,PNRC2,POLR1B,POLR2D,POU2F1,POU4F1,POU4F2,PPARGC1A,PPARGC1B,PRDM2,PRKACA,PRMT1,PRMT2,PRPF6,PSMC5,PTGES3,PTPN1,PTPN6,RARA,RBM23,RBM39,RBM9,RELA,REXO4,RFX4,RGS3,RLIM,RNF14,RNF4,RPS6KA1,RPS6KA3,RXRA,SAFB,SAFB2,SHC1,SLC30A9,SMAD2,SMAD3,SMAD4,SMARCA2,SMARCA4,SMARCD3,SMARCE1,SOS1,SP1,SP3,SRC,SREBF1,STAT5A,STRN,STUB1,TAF10,TAP1,TBP,TCF20,TDG,THRA,THRB,TNFRSF14,TP53,TRIM24,TRIM28,TRIM59,TRIP4,TRRAP,TSC2,TUBA1B,TUBB,UBE2I,USF1,WIPI1,XBP1,YWHAH,ZBTB16,ZBTB17,ZNF398"
"ESR2","2100","ESR2 estrogen receptor 2 (ER beta) ","14","Erb; ESRB; ESTRB; NR3A2; ER-BETA; ESR-BETA; ESR2","19438492","1100","AKAP13,AKT1,BCAS2,CALM1,CALM2,CALM3,DDX54,DNTTIP2,ESR1,ESR2,LCK,MAD2L1,MAPK11,MED1,MKNK2,MMS19,NCOA1,NCOA3,NCOA6,NCOA7,NCOR1,NCOR2,NR0B1,NR0B2,NRIP1,OXT,PELP1,PIAS1,PIAS3,PNRC1,PNRC2,PPARGC1A,PRMT2,PSMC3IP,RBM39,RBM9,REXO4,SMAD2,SMAD3,SMAD4,SMARCE1,SP1,SRC,SREBF1,STAT5A,TRIM24,TRIM59,WIPI1,YWHAH,ZBTB17"
"ETS1","2113","v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)","11","ETS-1; EWSR2; FLJ10768","12377649","3837","CAMK2A,CAMK2B,CREBBP,DAXX,EP300,ETS1,ETS2,FOS,GATA3,HTATIP2,JUN,MAF,MAPK1,MAPK3,MAPK7,MEIS1,NCOR1,NFKB1,NR3C1,PAX5,POU1F1,RBBP6,RUNX2,SMAD3,SP1,SP100,SRC,STAT5B,STAT6,TTRAP,UBE2I"
"ETV5","2119","ETV5 ets variant 5","3","ERM; ETV5","15604243","3276","AR"
"F10","2159","F10 coagulation factor X","13","FX; FXA","17043662","30976","APOH,EPR1,F10,F3,F5,F7,F8,GAD2,GGCX,HIST1H1C,MGST3,PLAT,PLG,PRKAB1,PROS1,SERPINA10,SERPINA5,SERPINB6,SERPINB8,TFPI"
"F13A1","2162","F13A1 coagulation factor XIII; A1 polypeptide ","6","F13A; F13A1","18949382","20077","F13A1,F13B,F2,FGA,FGG,FN1,SERPINF2"
"FAM20A","54757","FAM20A family with sequence similarity 20; member A","17","FP2747; DKFZp434F2322; FAM20A","159300340","9719","NA"
"FAM46C","54855","FAM46C family with sequence similarity 46; member C","1","FLJ20202","17043662","56783","AP2B1,DAZAP2,PLK4,TRIP6"
"FAM65C","140876","FAM65C family with sequence similarity 65; member C","20","FLJ00360; FLJ32230; C20orf175; dJ530I15.2","17043662","15438","NA"
"FAM89B","23625","FAM89B family with sequence similarity 89; member B","11","MTVR1; FAM89B","15604243","18749","NA"
"FAS","355","FAS Fas (TNF receptor superfamily; member 6)","10","APT1; CD95; FAS1; APO-1; FASTM; ALPS1A; TNFRSF6; FAS","10817504","27","ANK3,APAF1,BTK,C14orf1,C1orf103,CALM1,CASP8,CASP8AP2,CD47,CRMP1,DAXX,EEF1A1,EGFR,EZR,FADD,FAF1,FAIM2,FAS,FASLG,FBF1,FEM1B,FYN,HIPK3,LCK,MET,PDCD6,PRKCA,PTPN13,PTPN6,RAP1A,RIPK1,SUMO1,TNFSF13,TRADD,UBA7,UBE2I"
"FBN1","2200","FBN1 fibrillin 1","15","FBN; SGS; WMS; MASS; MFS1; OCTD; SSKS","17043662","30958","CALR,DCN,ELN,FBLN2,FBN2,HSPG2,LTBP1,MFAP2,MFAP5,MYOC,VCAN"
"FBXO32","114907","FBXO32 F-box protein 32","8","Fbx32; MAFbx; FLJ32424; MGC33610","17043662","12182","SKP1"
"FBXW7","55294","FBXW7 F-box and WD repeat domain containing 7","4","AGO; CDC4; FBW6; FBW7; FBX30; FBXW6; SEL10; FBXO30; SEL-10; FLJ16457; DKFZp686F23254; FBXW7","12183400; 14648662","117451","ARL6IP1,C6orf167,CCNE1,CUL1,FAM101A,HEY1,HIPK2,JUN,KIAA1875,LINGO1,MYB,MYC,NOTCH1,NOTCH4,PARK2,PPARGC1A,PSEN1,SHPRH,SKP1,SUMF2"
"FGF2","2247","FGF2 fibroblast growth factor 2 (basic)","4","BFGF; FGFB; HBGF-2; FGF2","18006148","1521","API5,CASP1,CD44,CEP57,CSNK2A1,CSNK2A2,CSNK2B,CXCL13,FGF2,FGFBP1,FGFR1,FGFR3,FGFR4,FGFRL1,GPC3,GPC4,HSPG2,NRP1,PF4,PRMT1,PTX3,RPL6,RPS19,RPS6KA3,SDC1,SDC2,SDC3,VTN"
"FGFR1","14182","Fgfr1 fibroblast growth factor receptor 1","8","FLG; Hspy; Flt-2; Fgfr-1; AW208770; Fgfr1","159300340","69065","BNIP2,CREBBP,CRK,EPHA4,FDPS,FGF1,FGF17,FGF18,FGF2,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FLRT3,FRS2,FRS3,GRB14,GRB2,IL17RD,KPNB1,MMP2,NCAM1,NCK2,NRP1,PIK3R1,PIK3R2,PLCG1,RPS6KA1,RTN3,SH3BP2,SHC1,SLA,SOS1,TENC1"
"FHIT","2272","fragile histidine triad gene","3","FRA3B; AP3Aase","10652418","21661","FDXR,FHIT,GSN,HSPD1,SRC,UBE2I"
"FLRT2","23768","FLRT2 fibronectin leucine rich transmembrane protein 2","14","KIAA0405","17043662","8291","NA"
"FOLH1","2346","FOLH1 folate hydrolase (prostate-specific membrane antigen) 1","11","PSM; FGCP; FOLH; GCP2; PSMA; mGCP; GCPII; NAALAD1; NAALAdase; FOLH1","18349274","121694","NA"
"FOXA1","3169","FOXA1 forkhead box A1","14","HNF3A; TCF3A; MGC33105; FOXA1","17043662","3307","AR,HIST3H3"
"FOXA2","3170","FOXA2 forkhead box A2","20","HNF3B; TCF3B; MGC19807; FOXA2","159300340","7762","EN2,GSC,HOXA5,MIP,NCOA1,ONECUT1,OTX2,TLE1"
"FOXC1","2296","FOXC1 forkhead box C1","6","ARA; IGDA; IHG1; FKHL7; IRID1; RIEG3; FREAC3; FREAC-3; FOXC1","17043662","20373","HMGB1"
"FOXL2","668","FOXL2 forkhead box L2","3","BPES; PFRK; POF3; BPES1; PINTO","17043662","74992","PAK1"
"FUCA1","2517","FUCA1 fucosidase; alpha-L- 1; tissue","1","FUCA; FUCA1","15604243","20078","NA"
"GAD1","2571","GAD1 glutamate decarboxylase 1 (brain; 67kDa) ","2","GAD; SCP; FLJ45882; GAD1","159300340","635","GAD2,HAAO,PPP2CA,PPP2CB,PRKCE"
"GADD45G","10912","GADD45G growth arrest and DNA-damage-inducible; gamma","9","CR6; DDIT2; GRP17; GADD45gamma","17043662","21334","C1orf103,C7orf64,CCNB1,CDK1,CDKN1A,EEF1A1,EEF1G,ESR1,GADD45B,GADD45GIP1,GDF9,HAP1,KAT5,LUC7L,LUC7L2,MAP3K4,MED31,PCNA,PIAS4,PPARA,PPARD,PPARG,PTN,PTPRK,RAN,RARA,RWDD2B,RXRA,TSNAX,UTP14A"
"GAS6","2621","GAS6 growth arrest-specific 6","13","AXSF; AXLLG; FLJ34709; DKFZp666G247","17043662","638","AXL,MERTK,TYRO3"
"GCNT3","9245","GCNT3 glucosaminyl (N-acetyl) transferase 3; mucin type","15","GNTM; C24GNT; C2GNT2; C2GNTM; C2/4GnT; GCNT3","159300340","20993","NA"
"GLT8D2","83468","GLT8D2 glycosyltransferase 8 domain containing 2","12","FLJ31494","17043662","41826","NA"
"GLTP","51228","GLTP glycolipid transfer protein","12","GLTP","18949382","4113","NA"
"GNLY","10578","GNLY granulysin","2","519; LAG2; NKG5; LAG-2; D2S69E; TLA519","17043662","117711","NA"
"GP2","2813","GP2 glycoprotein 2 (zymogen granule membrane)","16","ZAP75; DKFZp779K0533; GP2","15604243","114817","AMY2A,ANXA4,GP2"
"GPR133","283383","GPR133 G protein-coupled receptor 133","12","PGR25; FLJ16770; MGC138512; MGC138514; DKFZp434B1272","17043662","34616","NA"
"GSTP1","2950","GSTP1 glutathione S-transferase pi 1","11","PI; DFN7; GST3; GSTP; FAEES3; GSTP1","15681469; 15837751","660","FANCC,GSTP1,MAPK8,PNO1,PTN,SUMO4,TGM2,TRAF2"
"GZMA","3001","GP2 glycoprotein 2 (zymogen granule membrane)","16","ZAP75; DKFZp779K0533; GP2","15604243","114817","APEX1,GZMA,HMGB2,LMNB1,NCL,SET"
"HDAC2","3066","HDAC2 histone deacetylase 2 ","6","HD2; RPD3; YAF1; HDAC2","20178884","68187","-,ANTXR1,ARID4A,BRCA1,BRMS1,BRMS1L,BUB3,CDC20,CDH1,CDYL,CIR1,CSNK2A1,CSNK2A2,CTBP1,DAXX,DDX20,DMAP1,DNMT1,DNMT3B,EED,EID2,FKBP3,HDAC1,HDAC10,HIF1AN,HOPX,IFRD1,IKZF1,IKZF4,ING1,MAD1L1,MBD2,MTA1,MXD1,NRIP1,PA2G4,PHB2,PHF21A,PML,PPARD,PPP1R8,PTMA,RBBP4,RBBP7,RBP1,RCOR1,RELA,RFX5,RUNX3,SALL1,SAP30,SETDB1,SIN3A,SMARCA5,SMYD1,SNW1,SP1,SP3,SPEN,STAT3,SUV39H1,THRA,THRB,TOP2A,TP53,YY1"
"HGD","3081","HGD homogentisate 1;2-dioxygenase","3","AKU; HGO; FLJ94126; HGD","159300340","156","HGD"
"HIF1A","3091","hypoxia inducible factor 1; alpha subunit (basic helix-loop-helix transcription factor)","14","HIF1; MOP1; PASD8; bHLHe78; HIF-1alpha; HIF1-ALPHA","12209691","1171","APEX1,AR,ARNT,ARNT2,ARNTL,CDKN2A,CITED2,COPS5,CREBBP,CSNK2A1,CTNNB1,DAP3,EGLN1,EGLN2,EGLN3,EP300,HDAC1,HIF1AN,HIF3A,HSP90AA1,JUN,MAPK3,MAX,MDM2,MTA1,NAA10,NAA11,NCOA1,NCOA2,NDN,NR4A1,OS9,PER1,PGK1,PSMA7,RWDD3,SEPT9,SP1,SSX4,STAT3,TP53,TSGA10,VHL,VHLL"
"HKDC1","80201","HKDC1 hexokinase domain containing 1","10","FLJ22761; FLJ37767; MGC125688; HKDC1","18949382","56070","NA"
