"Gene_Name","Gene_ID","Gene_Description","Chromosome","Aliases","Pubmed_ID","Homologene_ID","int_protein"
"CDH1","999","CDH1 cadherin 1; type 1; E-cadherin (epithelial)","16","UVO; CDHE; ECAD; LCAM; Arc-1; CD324; CDH1","12379748; 12569599; 15051772","20917","-,ACTR3,ANAPC7,ARVCF,CA9,CASP3,CASP8,CBLL1,CDH1,CSE1L,CSNK2A1,CTNNA1,CTNNB1,CTNND1,CTNND2,EGFR,ERBB2IP,EZR,GNA12,GNA13,GSK3B,HDAC1,HDAC2,IQGAP1,IRS1,ITGAE,ITGB7,JUP,MAD2L2,NDRG1,NEDD9,PKD1,PPP1CA,PSEN1,PTPN14,PTPRF,PTPRM,RAB8B,RRM2,VCL"
"CDH3","1001","CDH3 cadherin 3; type 1; P-cadherin (placental)","16","CDHP; HJMD; PCAD; CDH3","15051772","20425","CDH3,CTNNA1,CTNNB1,CTNND1"
"CDH6","1004","CDH6 cadherin 6; type 2; K-cadherin (fetal kidney)","5","KCAD; CDH6","159300340","21027","CDH10,CDH18,CDH19,CDH6,CDH7,CDH9"
"CDK4","1019","CDK4 cyclin-dependent kinase 4","12","CMM3; PSK-J3; MGC14458; CDK4","10682682; 9404701","55429","BAT3,BIRC5,BMPR1B,BRCA1,CAPNS1,CCND1,CCND2,CCND3,CDC37,CDC45L,CDC7,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CEBPA,CNOT7,IFI27,MCM2,MYOD1,NCOA2,NOL12,ORC3L,PPP2R1B,PRKAR1A,PSMD10,PTMA,RB1,RBL1,RFC1,RFC4,SERTAD1,SETDB1,SMAD2,SMAD3,TGFBR1,VTA1,ZNF655"
"CDKN1A","1026","CDKN1A cyclin-dependent kinase inhibitor 1A (p21; Cip1)","6","P21; CIP1; SDI1; WAF1; CAP20; CDKN1; MDA-6; p21CIP1; CDKN1A","15099969","333","AKT1,BCCIP,C1orf123,C7orf20,CASP3,CCDC85B,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC45L,CDC5L,CDC6,CDC7,CDK1,CDK14,CDK2,CDK3,CDK4,CDK6,CDKN1A,CEBPA,CIZ1,CSNK2A1,CSNK2B,DAPK3,ESR1,GADD45A,GADD45B,GADD45G,GMNN,GNB2L1,HDAC11,ITGB1BP3,MAP3K5,MAPK8,MCM10,PARP1,PCNA,PIM1,POLD2,PSMA3,RAB1A,RB1,RNF144B,SET,SLC25A11,STAT3,TEX11,TK1,TSG101,TTLL5,XRCC6"
"CDKN1B","1027","CDKN1B cyclin-dependent kinase inhibitor 1B (p27; Kip1)","12","KIP1; MEN4; CDKN4; MEN1B; P27KIP1; CDKN1B","10389625; 15188025; 14614018; 21454826","2999","ABL1,AKT1,ARHGDIA,CASP8,CCNA1,CCNA2,CCNB1,CCND1,CCND2,CCND3,CCNE2,CDK2,CDK3,CDK4,CDK5,CKS1B,COPS5,CUL4A,GRB2,KPNA3,KPNA5,LYN,MCM7,NUP50,SKP2,SPDYA,SRC,STMN1,TRAF2,TSC2,UBB,UCHL1,XPO1,YES1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ"
"CDKN2A","1029","CDKN2A cyclin-dependent kinase inhibitor 2A (melanoma; p16; inhibits CDK4)","9","ARF; MLM; P14; P16; P19; CMM2; INK4; MTS1; TP16; CDK4I; CDKN2; INK4A; MTS-1; P14ARF; P19ARF; P16INK4; P16INK4A; P16-INK4A; CDKN2A","10682682; 18949382; 9404701","55430","AHNAK,ALS2CR8,ANKRD12,CCNG1,CDC45L,CDC5L,CDC6,CDC7,CDK4,CDK6,CDKN2A,CDKN2AIP,CDKN2C,E2F1,E4F1,EGR1,GMNN,GSPT1,HIF1A,HSP90AB1,HUWE1,KIAA1984,MCM10,MCM2,MCM5,MDM2,MYC,NCL,ORC4L,PEX19,PPP1R9B,PSMC3,RPS7,SERTAD1,SLC4A1,TBRG1,TPI1,UBE2A,WRN,ZFP91,ZNF227,ZNF410"
"CDKN3","1033","CDKN3 cyclin-dependent kinase inhibitor 3","14","KAP; CDI1; CIP2; KAP1; FLJ25787; MGC70625; CDKN3","18949382","3805","CDC25A,CDK1,CDK2,CDK3,CDKN3,CEBPA,MS4A3"
"CDR2L","30850","CDR2L cerebellar degeneration-related protein 2-like","17","HUMPPA; CDR2L","159300340","35390","NA"
"CEACAM1","634","CEACAM1 carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)","19","BGP; BGP1; BGPI; CEACAM1","159300340; 9626043","113536","ANXA2,CD209,CEACAM1,CEACAM3,CEACAM6,CEACAM8,EGFR,FLNA,INSR,MAP3K10,PTPN11,PTPN6,PXN,SHC1,SRC"
